name,birth,death,ascension,abdication,c_ascension,c_abdication,
Anne,6/2/1665,1/8/1714,1/5/1707,d,n,n,n
George,28/5/1660,11/6/1727,1/8/1714,d,n,n
George II,30/10/1683,25/10/1760,11/6/1727,d,n,n
George III,4/6/1738,29/1/1820,25/10/1760,d,n,n
George IV,12/8/1762,26/6/1830,29/1/1820,d,5/2/1811,a
William IV,21/8/1765,20/6/1837,26/6/1830,d,n,n
Victoria,24/5/1819,22/1/1901,20/6/1837,d,n,n
Edward VII,9/11/1841,6/5/1910,22/1/1901,d,n,n
George V,3/6/1865,20/1/1936,6/5/1910,d,n,n
Edward VIII,23/6/1894,28/5/1972,20/1/1936,11/12/1936,n,n
George VI,14/12/1895,6/2/1952,11/12/1936,d,n,n
Elizabeth II,21/4/1926,30/12/2014,6/2/1952,d,n,n
