name,start,end,color
House of Normandy,William I,Henry I,#a51d2d
House of Blois,Stephen,Stephen,#e5a50a
House of Anjou,Henry II,John,#26a269
House of Plantagenet,Henry III,Richard II,#e5a50a
House of Lancaster,Henry IV,Henry VI,#e01b24
House of York,Edward IV,Edward IV,#77767b
House of Lancaster,Henry VI,Henry VI,#e01b24
House of York,Edward IV,Richard III,#77767b
House of Tudor,Henry VII,Elizabeth I,#e5a50a
House of Stuart,James I,Charles I,#c00465
Interregnum,Oliver Cromwell,Richard Cromwell,#000000
House of Stuart,Charles II,Anne,#c00465
House of Hanover,George,Victoria,#47c00a
House of Saxe-Coburg and Gotha,Edward VII,George V,#bc0b0b
House of Windsor,George V,Elizabeth II,#cb8100
