name,birth,death,ascension,abdication,c_ascension,c_abdication,
William I,1028,09/09/1087,25/12/1066,d,n,n
William II,1056,02/08/1100,26/09/1087,d,n,n
Henry I,09/1068,01/12/1135,05/08/1100,d,n,n
Stephen,1096,25/10/1154,22/12/1135,d,n,n
Henry II,05/03/1133,06/06/1189,19/12/1154,d,n,n
Richard I,08/09/1157,06/04/1199,03/09/1189,d,n,n
John,24/12/1166,19/10/1216,26/05/1199,d,n,n
Henry III,01/10/1207,16/11/1272,28/10/1216,d,n,n
Edward I,17/06/1239,07/07/1207,20/11/1272,d,n,n
Edward II,25/04/1284,21/09/1327,08/06/1307,d,n,n
Edward III,13/11/1312,21/06/1377,25/01/1327,d,n,n
Richard II,06/01/1367,14/02/1400,22/06/1377,d,n,n
Henry IV,15/04/1367,20/03/1413,30/09/1399,d,n,n
Henry V,16/09/1386,31/08/1422,21/03/1413,d,n,n
Henry VI,06/12/1421,21/05/1471,01/09/1422,d,n,n
Edward IV,28/04/1442,09/04/1483,04/03/1461,d,n,n
Henry VI,06/12/1421,21/05/1471,03/10/1470,d,n,n
Edward IV,28/04/1442,09/04/1483,11/04/1471,d,n,n
Edward V,02/11/1470,1483,09/04/1483,d,n,n
Richard III,02/10/1452,22/10/1485,26/06/1483,d,n,n
Henry VII,28/01/1457,21/04/1509,22/10/1485,d,n,n
Henry VIII,28/06/1491,28/01/1547,22/04/1509,d,n,n
Edward VI,12/10/1537,06/06/1553,28/01/1547,d,n,n
Mary I,18/02/1516,17/11/1558,19/06/1553,d,n,n
Elizabeth I,07/09/1533,24/03/1603,17/11/1558,d,n,n
James I,19/06/1566,27/03/1625,24/03/1603,d,n,n
Charles I,19/11/1600,30/01/1649,27/03/1625,d,n,n
Oliver Cromwell,25/04/1599,03/09/1658,16/12/1653,d,n,n
Richard Cromwell,04/10/1626,12/07/1712,03/09/1658,d,n,n
Charles II,29/05/1630,06/02/1685,29/05/1660,d,n,n
James II,14/10/1633,16/09/1701,06/02/1685,d,n,n
Mary II,30/04/1662,28/12/1694,13/02/1689,d,13/02/1689,n
William III,04/11/1650,08/03/1702,13/02/1689,d,13/02/1689,n
Anne,6/2/1665,1/8/1714,1/5/1707,d,n,n,n
George,28/5/1660,11/6/1727,1/8/1714,d,n,n
George II,30/10/1683,25/10/1760,11/6/1727,d,n,n
George III,4/6/1738,29/1/1820,25/10/1760,d,n,n
George IV,12/8/1762,26/6/1830,29/1/1820,d,5/2/1811,a
William IV,21/8/1765,20/6/1837,26/6/1830,d,n,n
Victoria,24/5/1819,22/1/1901,20/6/1837,d,n,n
Edward VII,9/11/1841,6/5/1910,22/1/1901,d,n,n
George V,3/6/1865,20/1/1936,6/5/1910,d,n,n
Edward VIII,23/6/1894,28/5/1972,20/1/1936,11/12/1936,n,n
George VI,14/12/1895,6/2/1952,11/12/1936,d,n,n
Elizabeth II,21/4/1926,12/4/2020,6/2/1952,d,n,n
