name,birth,death,ascension,abdication,c_ascension,c_abdication,
Saint Steven,#975,15/8/1038,25/12/1000,d,n,n
Peter the Venetian,#1011,30/8/1046,5/7/1044,d,15/8/1038,15/9/1041
Samuel,#990_1009,5/7/1044,15/9/1041,d,n,n
Andrew I the White,#1015,6/12/1060,15/9/1046,d,n,n
Béla I the Champion,#1015,11/9/1063,6/12/1060,d,n,n
Solomon,#1053,#1087,11/9/1063,14/3/1074,#1057_1058,6/12/1060
Géza I Magnus,#1040,25/4/1077,14/3/1074,d,n,n
Saint Ladislaus I,#1040,29/7/1095,25/4/1077,d,n,n
Coloman the Learned,#1070,3/2/1116,#1095,d,n,n
Stephen II,#1105,1/3/1131,3/2/1116,d,#1105,a
Béla II the Blind,#1109,13/2/1141,28/4/1131,d,n,n
Géza II,#1130,31/5/1162,16/2/1141,d,n,n
Stephen III,#1147,4/3/1172,15/6/1162,d,n,n
Ladislaus II,#1131,14/1/1163,15/7/1162,d,n,n
Stephen IV,#1133,11/4/1165,27/1/1163,d,n,n
Béla III,#1148,23/4/1196,13/1/1173,d,n,n
Emeric,#1174,30/11/1204,23/4/1196,d,16/5/1182,a
Ladislaus III,#1200,7/5/1205,30/11/1204,d,26/8/1204,a
Andrew II the Jerosolimitan,#1177,21/9/1235,29/5/1205,d,n,n
Béla IV the Second Founder,#1206,3/5/1270,14/8/1235,d,#1214,a
Stephen V,18/10/1239,6/8/1272,17,5,1070,d,#1246,a
Ladislaus IV the Cuman,5/8/1262,10/7/1290,6/8/1272,d,n,n
Andrew III the Venetian,#1265,14/1/1301,23/7/1290,d,n,n
