name,birth,death,ascension,abdication,c_ascension,c_abdication,
Augustus,23/9/-63,19/8/14,16/1/-27,d,n,n
Tiberius,16/11/-42,16/3/37,18/9/14,d,n,n
Caligula,12/08/12,24/1/41,18/3/37,d,n,n
Claudius,10/08/-10,13/8/54,25/1/41,d,n,n
Nero,15/12/37,9/6/68,13/10/54,d,n,n
Galba,24/12/-3,15/1/69,8/6/68,d,n,n
Otho,28/4/32,16/4/69,15/1/69,d,n,n
Vitellius,24/9/15,20/12/69,17/4/69,d,n,n
Vespasian,17/11/9,24/6/79,21/12/69,d,n,n
Titus,30/12/39,13/9/81,24/6/79,d,n,n
Domitian,24/10/51,18/9/96,14/9/81,d,n,n
Nerva,8/11/30,27/1/98,18/9/96,d,n,n
Trajan,18/9/53,7/8/117,28/1/98,d,n,n
Hadrian,24/1/76,10/7/138,11/8/117,d,n,n
Antoninus Pius,18/9/86,7/3/161,10/7/138,d,n,n
Marcus Aurelius,26/4/121,17/3/180,7/3/161,d,n,n
Lucius Verus,15/12/130,1/3/169,7/3/161,d,n,n
Commodus,31/08/161,31/12/192,17/03/180,d,1/1/177,a
Pertinax,1/8/126,28/3/193,1/1/193,d,n,n
Didius Julianus,#133_137,28/3/193,1/1/193,d,n,n
Septimius Severus,11/4/145,4/2/211,9/4/193,d,n,n
Caracalla,4/4/188,8/4/217,4/2/211,d,#198,a
Geta,7/3/189,19/12/211,4/2/211,d,#209,a
Macrinus,#165,8/6/218,11/4/217,d,n,n
Elagabalus,#203,11/3/222,8/6/218,d,n,n
Severus Alexander,1/10/208,18/3/235,13/3/222,d,n,n
Maximinus Thrax,#173,1/6/238,20/3/235,d,n,n
Gordian,#159,12/4/238,22/3/238,d,n,n
Gordian II,#192,12/4/238,22/3/238,d,n,n
Pupienus,#178,29/7/238,22/4/238,d,n,n
Balbinus,#150_170,29/7/238,22/4/238,d,n,n
Gordian III,20/1/225,11/2/244,22/3/238,d,n,n
Philip,#204,1/10/249,1/2/244,d,n,n
Trajan Decius,#201,1/6/251,1/10/249,d,n,n
Hostilian,#220_240,1/10/251,1/6/251,d,n,n
Trebonianus Gallus,#206,1/8/253,1/6/251,d,n,n
Aemilian,#207,1/10/253,1/8/253,d,n,n
Valerian,#195,#260_270,1/10/253,#260,n,n
Gallienus,#218,1/9/268,1/10/253,d,n,n
Cladius Gothicus,#10/5/213_214,1/1/270,1/9/268,d,n,n
Quintillus,#210_230,#270,1/1/270,d,n,n
Aurelian,#9/9/214_215,1/9/275,1/9/270,d,n,n
Tacitus,#200,1/6/276,25/9/275,d,n,n
Florian,#210_240,1/9/276,1/6/276,d,n,n
Probus,#232,1/10/282,1/9/276,d,n,n
Carus,#230,1/8/283,1/10/282,d,n,n
Numerian,#230_260,#284,1/8/283,d,n,n
Carinus,#230_260,#285,1/8/283,d,n,n
Diocletian,22/12/244,3/12/311,20/11/284,1/5/305,n,n
Maximian,#250,#310,1/4/286,1/5/305,n,n
Constantius,31/3/250,#306,1/5/305,25/7/306,#293,a
Galerius,#260,#311,1/5/305,d,#293,a
Severus II,#260_290,16/9/307,1/7/306,1/4/307,#305,a
Maximinus Daia,20/11/270,1/8/313,1/5/311,d,#305,a
Constantine,27/2/272,22/5/337,25/7/306,d,1/1/306,a
Maxentius,#278,28/10/312,28/10/306,d,n,n
Licinius,#250,#325,11/11/308,18/9/324,n,n
Constantine II,#316,#340,22/5/337,d,#317,a
Constantius II,7/8/317,3/11/361,22/5/337,d,n,n
Constans,#320,#350,22/5/337,d,n,n
Vetranio,#290_320,25/12/350,1/3/350,d,n,n
Julian the Apostate,#331_332,26/7/363,1/2/360,d,#355,a
Jovian,#311,17/2/364,26/6/363,d,n,n
Valentinian,#321,17/11/375,26/2/364,d,n,n
Valens,#328,9/8/378,28/3/364,d,n,n
Gratian,1/5/359,25/8/383,17/11/375,d,4/8/367,a
Valentinian II,#371,15/5/392,17/11/375,d,n,n
Theodosius,11/1/347,17/1/395,1/1/379,d,n,n
Arcadius,#375_379,1/5/408,17/1/395,d,1/1/383,a
Honorius,9/9/384,15/8/423,1/5/408,d,23/1/393,a
Theodosius II,10/4/401,28/7/450,1/5/408,d,1/1/402,a
Constantius III,#370_390,2/9/421,8/2/421,d,n,n
Joannes,#370_390,1/6/425,27/8/423,d,n,n
Valentinian III,2/7/419,16/3/455,23/10/424,d,15/8/423,a
Marcian,#396,1/1/457,1/7/450,d,n,n
Petronius Maximus,#396,31/5/455,17/3/455,d,n,n
Avitus,#385,#457_459,9/7/455,17/10/456,n,n
Majorian,1/11/420,7/8/461,1/4/457,2/8/461,n,n
Libius Severus,#417_423,1/8/465,1/11/461,d,n,n
Anthemius,#417_423,11/7/472,12/4/467,d,n,n
Olybrius,#417_423,2/11/472,11/7/472,d,n,n
Glycerius,#417_423,#480_#485,1/3/473,1/6/474,n,n
Julius Nepos,#430,#480,1/6/474,d,n,n
Romulus Augustulus,#460,#480_495,31/10/475,4/9/476,n,n
